,Wskaźnik cen konsumenta CPI (% r/r),    Ceny żywności (% r/r),    Ceny energii (% r/r),    Wskaźnik cen inflacji bazowej po wyłączeniu cen żywności i energii (% r/r),PKB (% r/r),    Popyt krajowy (% r/r),        Spożycie indywidualne (% r/r),        Spożycie zbiorowe (% r/r),        Nakłady inwestycyjne (% r/r),    Wkład eksportu netto (pkt. proc. r/r),        Eksport (% r/r),        Import (% r/r),Płace brutto (% r/r),Liczba pracujących (% r/r),Stopa bezrobocia (%),NAWRU (%),Stopa aktywności zawodowej (%),Wydajność pracy (% r/r),Jednostkowe koszty pracy (% r/r),Produkt potencjalny (% r/r),Luka popytowa (% PKB potencjalnego),"Indeks cen surowców rolnych (USD; 2010=1,00)","Indeks cen surowców energetycznych (USD; 2010=1,00)",Poziom cen za granicą (% r/r),PKB za granicą (% r/r),Saldo rachunku bieżącego i rachunku kapitałowego (% PKB),WIBOR 3M (%)
2008-01-15,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-16,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-17,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-18,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-21,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-22,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-23,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-24,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-25,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-28,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-29,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-30,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-31,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-01,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-04,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-05,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-06,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-07,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-08,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-11,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-12,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-13,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-14,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-15,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-18,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-19,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-20,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-21,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-22,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-25,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-26,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-27,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-28,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-02-29,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-03,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-04,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-05,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-06,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-07,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-10,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-11,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-12,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-13,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-14,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-17,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-18,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-19,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-20,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-21,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-24,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-25,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-26,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-27,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-28,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-03-31,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-01,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-02,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-03,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-04,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-07,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-08,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-09,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-10,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-11,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-14,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-15,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-16,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-17,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-18,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-21,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-22,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-04-23,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
